ID,content
1,aplikasi ini sangat membantu saya
2,sangat membantu
3,berulang kali masuk kan data pribadi gagal trus.. aplikasi gak jelas.biasanya minta skensrot wajah langsung bisa.ini making di apdet tambah eror.. lama lama gax guna aplikasi ini.. siapa yg gax ksel klot harus berulang ulang masuk kan data..
4,sangat membantu
5,assalamualaikum min. saya lupaa pasword livin saya min saya mau login gak bisa karna lupa password nya bisa bantu saya min
6,Livin by mandiri emang hebat
7,"kenapa hari saya tidak dapat transfer uang ya....keterangan ""proses belum dapat dilanjutkan"" itu knapa ya"
8,mengapa loading lama banget. bahkan sll minta update dan berhenti sampai disini terus...
9,baik
10,sangat memuaskan
11,lama2 kurang bagus Livin ini di buat transaksi apa2 gak bisa sama sekali
12,kenapa yah sekarang mahal bgt perbulnya kepotong nya . biaya saldo sama biaya adminitrasi rekeninya . kepotonya 17.500
13,"penguna baru ,mudah di gunakan dan sangat membantu transaksi"
14,"mau bayar qris pake livin eh malah muncul jaga keamanan akun dan aktivitas anda terus, padahal udah di non aktifkan aplikasi yang mencurigakan, jadi malu maluin"
15,Udah gak beres Mandiri Udah Gak jelas ke Bank SMA aja Masak udah 4 bulan Livin gak bisa digunakan.
16,Nice
17,kenapa sekarang tidak bisa buat akun sendiri dan harus datang ke kantor pusat maupun kantor cabang?
18,mantab
19,ribet bener ngurus kartunya apa apa pusat padahal banyak cabang nya. di tunggu konfirmasinya dari pusat gak ada jawabanya
20,mohon bantuannya ... setelah d update .. aplikasi mandiri ga bisa d buka.. setelah di perbaiki saya kembalikan ke bintang 5 lagi
21,"kenapa saya kok gk bisa loqin lagi ke aplikasi livin ini kemarin"" bisa kenapa sekarang kok gk bisa? kontollllll"
22,Membantu dalam hal keuangan
23,ok
24,kenapa livin ku pakai hp samsung A15 sering terbuka sendiri padahal aku ngak sentuh. memang tidak terlogin. tapi aplikasi kebuka sendiri.
25,Sedikit² update Mulu
26,Aplikasinya gak lemot dan sangat membantu banget untuk bertransaksi di tambah fiturnya udah lengkap banget terimakasih bank mandiri
27,mau buka Livin muter terus
28,cukup bagus dan membantu
29,terlalu banyak pemeliharaan... trus skarang aja saya blum bisa masuk gara gara harus buat pripikasi yg belum sulit untuk deteksi wajah aja udah di ulang 100 kali masih blum bisa skarang.. kalo mau aplikasi bagus kenapa harus di persulit
30,mudah untuk mengecek saldo.
31,tolong lah kenapa gak bisa dibuka
32,"Saya agak kecewa dengan aplikasi Livin'. Saya sudah mencoba mengajukan pembuatan kartu atm baru karena kartu yang lama sudah expired dan cuma muncul notifikasi kartu anda sedang dalam pengiriman ke alamat anda, silakan ditunggu 3-14 hari. Nyatanya sudah sebulan ditunggu tidak datang juga. Apakah menu pembuatan kartu atm baru di Livin' cuma fitur hoax belaka ?"
33,bgus
34,astage... parah sdh diulang ulang ttp jg tdk bs. infonya system lg tdk tersedia. Masak sihhh sampe segitunya.
35,"mohon untuk secepatnya di perbaiki, saya mau daftar belum bisa masuk"
36,"Aplikasinya bagus tapi sales nya pelayanan nya buruk, mau ngajuin KUR di PHP terus gak jelas"
37,bikin via online dari Malaysia selalu gagal.
38,oke
39,kalo bisa sulit kenapa di permudah sulit nya pripikasi di aplikasi.. cirihas Indonesia emang kaya gitu slalu di persulit ga pernah ada yg di permudah
40,"cepat,praktis,hemat"
41,mantap
42,Bagus
43,tlng jangan di perlambatkan
44,sangat memuaskan
45,bagus aplikasi
46,bagus banget
47,sangat terbantu dengan aplikasi ini
48,saya belum menerima kartu saya pdhl sudah saya isi livin nya lebih dari 24 jam sudah berberapa bulan ini belum datang
49,❤️
50,rekomend walapun saldo sering kosong
51,"Ini saldo sisa 3 juta diambil 2 juta dengan dua kali penarikan dan 1juta hilang entah kemana, ini aplikasi maunya apa sih? Motong motong saldo orang?! Saya mau cek riwayat transaksi nya dan harus login livin kemudian saya login malah tidak bisa alasannya ""sedang ada peningkatan atau BLA BLA"" saya mohon saya harap mudahkan lagi pengoperasian aplikasinya, fitur banyak tapi mempersulit itu sama saja tidak berguna."
52,"Ini Saya Posisi Lagi Arus Balik,Nggga Bisa Transaksi,Saya Keman-Mana Cuma Andalkan Banking,Jarang Bawa Kartu,Nah Kalau Gini Susah Dijalan,Tolong Kedepan Kalau Mau Maintenance Liat Juga Waktu Aktivitas Secara Umum,Karena Kalau Seperti Bisa Susah Dijalan,Terima Kasih..."
53,sering eror pelayanan smakin buruk aja
54,"Livin' by Mandiri oke juga, praktis, gak ribet, mudah untuk transaksi, dan keamanannya yang selalu dijaga dengan konsisten 👍."
55,saya tidak bisa transfer uang
56,OK
57,"masalah fitur tidak tersedia gak bisa diatasi mandiri, udah 3 kali ke kantor cabang gak kelar kelar juga, parahhhhh🥱🥱🥱"
58,tolong informasi nya.kenapa pendaftaran livin mandiri ko selallu gagal..sedangkan saya sudah punya kartu debit Mandiri.tolong di perjelas kan.. terimakasih
59,kadang2 aplikasi ini lemot kalo neransper dari luar negri gak langsung nyampe transperannya.
60,"pemeliharaan masih jam jam orang balik kerja, nyusahin pengguna mandiri !"
61,aplikasi gak berguna ngajuin bikin kartu online tapi transaksi di aplikasi gabisa alesan limit gak cukup padahal jelas jelas cukup bilang aja kalo gak ada kartu blm bisa transaksi gembel amat gak kaya aplikasi M-BANKING BCA yang super cepet meskipun gak ada kartu tetep bisa transaksi gembel dasar!
62,Sangat bermanfaat bagi semua penguna ATM mandiri
63,udah aktifkan login sidik jari tapi pas mau di coba malah suruh matiin sidik jari terus udah di coba semua cara tetep aja dan mau bayar briva buat blanja tapi malah nga bisa buat bayar overall yang lainnn bagusss tolong pihak livin' di perbaiki ya tank youu😊
64,"apakah aplikasi livin sedang ada maintenance atau gmn ya?aplikasi tdk dapat dibuka,ada notifikasi livin by mandiri terhenti,"
65,livin knp ya..verifikasi wajah aja susah banget...kaya tidak bisa baca muka..yapi suruh verifikasi wajah..bikin males aja pake livin..makin kesini ratingnya makin jelek aja bagi pengguna livin
66,"mohon maaf, kenapa apkny sulit, jika akun keluar dari aplikasi, jika anak"" salah tindis berarti harus ke Bank terdekat lagi, jika bank-nya jauh bagaimn?, dan jika di pelosok desa, coba tolong buatkn apkny yang bisa di masukkan pas login di awal, kyk BRIMO, supaya tidak sulit, dn ,td harus ke Bank trus. MAAF INI SARAN ,BUKAN MAU MENYAMAKAN / MEMBANDIKAN DGN BANK LAIN,( Hanya Saran )"
